,Text,Event,Image,Show,Speaker,
Start,"It is another hot morning in Gangnam, the sun shining relentlessly down on the neighborhood.",Dialogue,neighborhood.png,,,
,"You stand outside the public square waiting for your date to arrive, palms sweating from a combination of nerves and humidity. The collar of your shirt sticks to the back of your neck, and you hope that it hasn’t ruined the expensive cotton weaving.",Dialogue,,,,
,You pull out your phone to check the time. They’re ten minutes late.,Dialogue,,,,
,Should you call? Send a text? Are they bailing??,Dialogue,,,,
,"Just as you've made up your mind to text her again, you hear someone call your name.",Dialogue,,,,
,"Hi, [Your Name]!",Dialogue,,,date,
,"You look up and your jaw drops, your date is even more gorgeous than her dating profile pictures. She is dressed in the most fashionable brands from head-to-toe.",Dialogue,,date1,,
,You gulp. ,Dialogue,,date1,,
,She’s definitely way out of your league. Way out of your league.,Dialogue,,date1,,
,"But she’d be the perfect eye candy by your side after you eventually climb your way to the top of your firm. Even though you are just an associate right now, you’ll get there eventually. ",Dialogue,,date1,,
,"You can see it already — making it as partner with a fancy salary to match! You just need to find the right girl at your side first, someone to impress all of Gangnam!",Dialogue,,date1,,
,You take a deep breath.,Dialogue,,date1,,
,"Alright, you’re going to have to get through this date without revealing how tight your budget is, since you told her you were already a partner at the firm. She’s going to have expectations.",Dialogue,,date1,,
,"But you can do this, just act natural!",Dialogue,,date1,,
,"Before you can open your mouth to speak, your date starts talking.",Dialogue,,date1,,
,It’s so good to see you finally! I’ve never met a date at such a public place before. You’re kinda unique. I’m excited to see what you’ve planned today!,Dialogue,,date,date,
,Oh no. You cringe mentally. This is definitely not the good start you had been aiming for. You’re going to have to work harder from now on.,Dialogue,,date1,,
,"You put on the brightest smile you can, and ask her what activities she had in mind. Can’t go wrong with hearing her thoughts.",Dialogue,,date1,,
,Your date lights up at your question.,Dialogue,,date1,,
,"Actually, I’ve been dying to go to these stables on the edge of town, they offer dressage lessons on some of the most well-bred horses around. What do you think?",Dialogue,,date,date,
,"She looks at you eagerly. Clearly she really wants to do this. But this sounds expensive, and you can feel the (non)weight of your empty wallet in your pocket.",Dialogue,,date1,,
,"You had planned to just hang out at the park. It’s much cheaper, but you don’t want to disappoint them…",Dialogue,,date1,,
,"[[“That sounds great, let’s go!”, “A”], [“How about walking around the Olympic park, instead?”, “B”]]",Dialogue,,,,
A,Oh… ,Dialogue,,date1,date,
,Your date sounds a little deflated.,Dialogue,,date1,,
,"Sure, I guess…",Dialogue,,date1,date,
,You try to keep yourself from dying inside as you watch their smile fall.,Dialogue,,date1,,
